date,keyword,title,description,source,url,risk_score,article_id,title_key
2026-02-10 15:59:00+00:00,container rates,Red Sea torpedoes Hapag-Lloyd rates,Hapag-Lloyd container volumes increased on robust trade growth but diverted voyages away from the Red Sea hurt average freight rates.,FreightWaves,https://www.freightwaves.com/news/red-sea-torpedoes-hapag-lloyd-rates,0.0,4b4a93d07f9155dc21528da8179645a0b43b0a6fef7569c5b88c45d8638c92d7,red sea torpedoes hapag lloyd rates
2026-02-11 15:04:22+00:00,container rates,Asia-U.S. ocean freight rates give up 2026 gains,Muted demand marks the trans-Pacific container market post-Lunar New Year as ocean freight rates are easing earlier than usual.,FreightWaves,https://www.freightwaves.com/news/asia-u-s-ocean-freight-rates-give-up-2026-gains,0.0,09992cdb72b70382f49c93031bf28f390e23b154d1f9e5af37645a1082c9412b,asia u s ocean freight rates give up 2026 gains
2026-02-12 10:00:00+00:00,credit spread,credit dark money infecting Wall Street,An unregulated market is the potting soil for uncertainty in a financial system where a confidence crisis can spread like wildfire,The Globe and Mail,https://www.theglobeandmail.com/business/commentary/article-private-credit-wall-street-blackstone-ares-hps/,0.0666666666666666,0ba71b944a122d85ef8c6080fcfa83301e1dd19164c170ca1f30dfe99530f9c1,credit dark money infecting wall street
2026-02-13 15:04:49+00:00,container rates,Lower freight shipments weigh on world container rates,A closely-watched container price index fell for the fifth consecutive week as lower freight on benchmark ocean routes pressured global rates.,FreightWaves,https://www.freightwaves.com/news/lower-freight-shipments-weigh-on-world-container-rates,0.0,ecba07121e10e6ffe308c42c4eba1ac96da1f39f92e7ab8bd199129fadd82605,lower freight shipments weigh on world container rates
2026-02-13 17:16:42+00:00,credit spread,Hungry families counting on your food donation as ‘Spread the Love’ drive ends Friday,Picture Credit: Sandy Roberts,KRDO,https://krdo.com/news/2026/02/13/hungry-families-counting-on-your-food-donation-as-spread-the-love-drive-ends-today/,0.0,a2651deb7d7f800591edd872d8c1672ea1b383b16da2cc09717b1ae28c8703ed,hungry families counting on your food donation as spread the love drive ends friday
2026-02-17 05:00:00+00:00,credit spread,I cannot draw down my mortgage because finance company won’t confirm a loan has been repaid,"Creation Finance, which allows shoppers spread repayments, updated central credit register but failed to engage with former customer",The Irish Times,https://www.irishtimes.com/your-money/2026/02/17/i-cannot-draw-down-my-mortgage-because-finance-company-wont-confirm-a-loan-has-been-repaid/,0.0,ad190aaf334607d3eee95395f51f5a66475e3bf278074ff0144cc063ffb1fcb3,i cannot draw down my mortgage because finance company won t confirm a loan has been repaid
2026-02-19 15:26:32+00:00,container rates,Asia-U.S. container rates continue to fall as industry change swirls,Container rates continued to fall on Asia-U.S. trade lanes as shippers wait out the Lunar New Year holiday.,FreightWaves,https://www.freightwaves.com/news/asia-u-s-container-rates-continue-to-fall-as-industry-change-swirls,0.0,84b7cbf6c95cfecb70933fa7ebd3b39718431d7b358ef69defa46d75ef5ca01f,asia u s container rates continue to fall as industry change swirls
2026-02-20 03:07:04+00:00,bank stress,"Bank profitability improves, outlook healthy on advances growth, lower interest expenses: Report","The report noted that the improvement in profitability was primarily driven by strong growth in core income and better asset quality trends. Lower slippages and improved recoveries helped reduce stress on balance sheets, while higher fee income further supported overall earnings during the quarter.",Zee News,https://zeenews.india.com/economy/bank-profitability-improves-outlook-healthy-on-advances-growth-lower-interest-expenses-report-3018844.html,0.0,87ef62a4b79310844ae001b3f64d72f94f69315984ad2935c1495f879887b0c7,bank profitability improves outlook healthy on advances growth lower interest expenses report
2026-02-20 03:13:48+00:00,debt ceiling,"TN finance minister defends fiscal management; says debt, deficit growth lower than previous regime","For 2025-26, while the permissible debt ceiling was 28.7% of GSDP, Tamil Nadu’s debt stood at 26.43%, the finance minster said.",The New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2026/Feb/20/tn-finance-minister-defends-fiscal-management-says-debt-deficit-growth-lower-than-previous-regime,0.0,226b9c199cf8942603dd6084b266dd01bbe1b4a36169489a648849921541459d,tn finance minister defends fiscal management says debt deficit growth lower than previous regime
2026-02-20 19:08:00+00:00,bank stress,Vedanta Resources mobilises $350 million in fresh borrowing,"Vedanta Resources has raised $350 million from global banks. This financing will cover upcoming debt payments and interest costs. The deal involves lenders like First Abu Dhabi Bank, Mashreq Bank, Standard Chartered, Deutsche Bank, and JPMorgan. Twin Star Holdings, a family trust, is the guarantor. This move strengthens Vedanta's credit profile after a period of stress.",The Economic Times,https://economictimes.indiatimes.com/industry/indl-goods/svs/metals-mining/vedanta-mobilises-350-million-in-fresh-borrowing/articleshow/128621720.cms,0.0,554f60936e0beba2df4bc7afe6e697715aaddd83a82c7c8a465fd79db14847e1,vedanta resources mobilises 350 million in fresh borrowing
